product_name,price,discount,review_rating,review_amount,brand
Parche Desintoxicantes 20und - ,11.900,0,5.0,1,Kinoki
Limpiadora Hidratante - Cerave 473 Ml,78.400,20,4.9,17,CeraVe
Cepillo Limpiador Facial Silicona - Unidad a $7000,7.000,0,0,0,connert
Serum Anti Acne Acid Salicilico,7.900,0,5.0,3,Bioaqua
Limpiador Facial Rejuvenecedor - Unidad a $105800,95.220,10,5.0,1,Genérica
"Botellas De Viaje Mujer, Kit Viajero, 11 Pcs Contenedores",22.900,0,4.0,1,Genérica
"Gomitas Goli De Ashwagandha Y Vitamina D, 60 Unidades,mezcl",67.931,0,5.0,6,General
Toallitas Desmaquillantes Nivea Agua De Rosas X 25und,33.450,0,5.0,1,Nivea
Limpiador Facial Exfoliante Masajeador Luna Mini Recargable,15.900,0,4.2,13,Forever
Nivea Agua Micelar 400ml,29.050,0,0,0,Nivea
"Cepillo De Limpieza Facial Forever Luna Mini 2, Exfoliación ",35.000,0,4.7,3,Forever
"Glowskins Mascarilla Nocturna De Colágeno,",67.444,4,5.0,3,Generic
Esponja + Pulpito Limpia Facial - Unidad a $17098,16.585,3,0,0,Trendy
Desmaquillante individual - Neutrogena,60.000,0,0,0,Neutrogena
"Limpiador Facial, Mini Spa Eléctrico 5 En 1",11.000,0,4.6,20,Brand not found
Cepillo Exfoliante Facial,22.000,0,4.1,9,GypsyMarket Co
Masajeador Limpieza Ultrasonico,34.190,5,0,0,Genérica
Desmaquillante bifásico L'bel Essential Detox 125 ml,30.000,0,0,0,L'Bel
Cepillo De Limpieza Facial 5 En 1 Masajeador Eléctrico,23.183,3,0,0,Osiris online
Vapor Ozono Profesional 3  En 1,407.915,15,4.6,9,Genérico
Tocobo Calamine Pore Control Cleansing Oil 6.8 Fl Oz / 6.76,120.000,0,0,0,Tocobo
Parche Desintoxicantes-  10 Und,10.450,5,3.7,3,TLBO
Dispositivo Estiramiento Facial Cara Antiarrugas Mujer,69.195,0,0,0,Genérica
Set De Herramientas Faciales Rena Chris Gua Sha & Face Rolle,175.249,9,0,0,Rena Chris
Cepillo Limpieza Y Exfoliante Facial - Silicona Suave ,12.950,50,0,0,Innerneed
Gel De Aloe Vera Penkaloe,59.900,0,5.0,5,Gea Beauty Company
Agua Micelar 240 Gr Funat - G A $83,19.900,0,0,0,Funat
Almohadillas Desmaquillantes Paños De Algodón Desmaquillarse,19.236,13,0,0,Importado TM
Cepillo Limpieza Facial Profund,95.940,40,0,0,Benton
Electroterapia  Alta Frecuencia Masaje Acné Suave Peine,123.834,0,0,0,Generic
La Crema Para Eliminar Verrugas W Elimina Rápidamente Color Blanco,53.907,0,0,0,Genérica
Vapor De Ozono Lampara Lupa Led,480.000,0,5.0,1,CORMEGA
Vapor Ozono Facial Y Capilar,230.000,0,4.0,5,Purare Technologic
X3 Despigmentante Morado Gotero - mL a $389,70.000,0,4.8,12,Queens
Limpiador Facial Rodillo - Kg a $19350,19.350,10,0,0,JDAG
5 In 1 Beauty Care Brush Massager Scrubberel ,12.890,0,4.3,111,Brand not found
Bioderma Agua Micelar Desmaquillante Sébium Piel Grasa 100ml,59.900,0,5.0,1,Bioderma
Nivea Agua Micellar Efecto Mate Piel Grasa X 400 Ml,23.900,22,4.4,5,Nivea
